A,B,Y
11.583,-3.5809,1
11.505,-3.2135,1
15.642,-5.6477,1
14.741,-5.2833,1
11.993,-6.7999,1
11.534,-4.496,1
11.27,-1.6088,1
17.996,-7.2315,1
17.81,-8.6418,1
15.991,-8.7738,1
16.207,-4.9836,1
11.254,-3.2129,1
14.812,-5.5893,1
13.912,-6.6894,1
21.89,-10.295,1
14.476,-5.2265,1
19.879,-8.2543,1
14.172,-5.4359,1
13.213,-4.2874,1
18.563,-8.9849,1
14.581,-7.5481,1
15.513,-6.7453,1
16.165,-6.2621,1
16.88,-5.2635,1
15.6,-6.3516,1
13.293,-5.5145,1
16.327,-6.54,1
11.945,-5.2969,1
17.394,-5.6272,1
13.678,-7.0584,1
18.05,-7.0602,1
13.288,-6.1396,1
15.984,-7.398,1
14.779,-5.3926,1
15.339,-6.642,1
12.325,-3.604,1
18.464,-7.2771,1
14.127,-3.0868,1
12.304,-4.8147,1
12.098,-2.1357,1
18.332,-6.6734,1
14.33,-7.0116,1
11.897,-3.4159,1
17.185,-6.9595,1
13.732,-4.8446,1
10.419,-3.2711,1
10.77,-4.269,1
15.697,-6.5554,1
13.914,-7.0398,1
17.139,-5.4301,1
9.0811,-3.4701,1
15.672,-5.4578,1
18.395,-9.9547,1
14.117,-4.5765,1
18.653,-8.1422,1
17.197,-5.9059,1
14.056,-5.0637,1
17.3,-7.7137,1
20.159,-6.5274,1
13.337,-3.0724,1
16.701,-7.4503,1
15.363,-4.9367,1
18.805,-6.6283,1
13.748,-6.9859,1
14.009,-5.8295,1
13.95,-6.2546,1
15.057,-7.0953,1
17.371,-7.0435,1
11.208,-4.3892,1
12.702,-5.1954,1
10.598,-4.1719,1
15.758,-7.8221,1
14.916,-9.0508,1
12.784,-2.3937,1
15.088,-6.4365,1
16.896,-7.3538,1
12.919,-2.6539,1
15.577,-5.5162,1
14.209,-6.2567,1
17.32,-7.0729,1
14.55,-6.524,1
19.39,-7.8458,1
17.969,-7.8811,1
13.922,-6.971,1
13.315,-8.1796,1
16.528,-5.9981,1
20.401,-5.3577,1
15.446,-7.6961,1
12.881,-5.1311,1
15.945,-5.9916,1
15.809,-6.9484,1
21.149,-11.455,1
9.5041,-4.946,1
18.992,-7.5926,1
14.053,-6.2329,1
20.056,-9.7817,1
17.441,-5.5074,1
13.404,-5.4716,1
17.348,-6.1222,1
14.774,-6.4724,1
13.729,-6.6647,1
7.9916,-5.1305,1
12.45,-4.2069,1
16.578,-7.2363,1
17.115,-5.5065,1
14.243,-3.102,1
13.825,-6.1271,1
16.288,-7.0562,1
17.182,-6.5294,1
19.625,-8.1268,1
15.102,-5.2441,1
13.886,-6.5979,1
17.095,-6.8962,1
16.551,-6.0357,1
13.324,-5.3855,1
13.477,-4.824,1
13.755,-4.9012,1
15.785,-6.5792,1
15.055,-6.8186,1
16.532,-7.6447,1
14.66,-4.2574,1
16.638,-6.245,1
8.8373,-2.3284,1
12.956,-4.9947,1
12.01,-2.3977,1
17.326,-8.1686,1
19.641,-8.0564,1
15.023,-5.06,1
12.797,-6.2576,1
14.102,-5.1015,1
15.177,-7.6961,1
13.574,-5.3559,1
14.706,-7.0624,1
10.921,-3.5769,1
16.934,-9.0519,1
18.895,-6.4259,1
19.851,-8.8796,1
18.302,-6.7743,1
14.003,-7.5946,1
15.377,-8.8743,1
16.746,-8.4681,1
16.432,-6.7648,1
14.3,-4.794,1
10.446,-2.9683,1
13.273,-6.2277,1
15.664,-5.077,1
10.866,-6.6499,1
14.31,-8.2492,1
13.361,-5.7134,1
15.629,-7.2677,1
13.391,-4.6981,1
16.028,-6.7175,1
19.353,-8.2887,1
15.362,-6.3653,1
17.594,-6.9201,1
13.533,-6.5601,1
14.465,-4.4248,1
14.647,-6.348,1
13.765,-4.8555,1
14.791,-6.6677,1
14.122,-6.4035,1
17.095,-7.6939,1
15.154,-6.7755,1
13.703,-4.0058,1
13.12,-4.3477,1
17.392,-6.0338,1
15.746,-3.5634,1
17.656,-7.0667,1
14.698,-5.6285,1
18.266,-5.7645,1
17.664,-4.6416,1
13.385,-3.9169,1
17.224,-7.4639,1
13.783,-4.9165,1
16.887,-6.2287,1
14.442,-8.0616,1
16.747,-3.7416,1
15.159,-8.7196,1
15.417,-8.1832,1
16.894,-8.0964,1
14.733,-7.1669,1
17.226,-10.213,1
14.332,-3.1833,1
16.792,-7.4729,1
9.8328,-2.935,1
15.195,-7.3597,1
11.653,-4.6344,1
14.544,-8.3496,1
13.912,-7.5314,1
15.079,-4.962,1
15.626,-5.77,1
15.744,-6.8567,1
14.886,-6.3822,1
15.071,-4.168,1
9.7337,-3.5962,1
15.649,-6.5128,1
14.735,-6.0022,1
13.728,-4.5574,1
16.111,-5.0331,1
16.047,-7.2645,1
13.983,-4.8026,1
13.08,-6.1643,1
16.795,-7.0777,1
12.021,-4.1496,1
14.7,-6.427,1
14.057,-3.6741,1
12.643,-4.2236,1
13.946,-4.6054,1
14.383,-5.7698,1
14.027,-6.316,1
12.16,-5.5525,1
19.558,-7.2188,1
16.166,-4.8265,1
17.488,-8.2323,1
17.075,-5.2366,1
16.787,-5.2509,1
16.152,-7.3512,1
12.977,-5.5541,1
12.497,-6.7813,1
13.548,-5.1985,1
16.017,-7.2077,1
12.704,-3.5174,1
15.638,-6.1732,1
14.152,-6.4385,1
11.071,-4.711,1
13.543,-7.4498,1
16.088,-5.8771,1
10.449,-5.6544,1
12.361,-2.1174,1
15.585,-6.4251,1
20.058,-6.9971,1
17.051,-8.7066,1
17.264,-6.2423,1
15.98,-6.4876,1
14.577,-4.3958,1
19.118,-7.7267,1
11.078,-4.0987,1
